WISE_ID,ConstructionType,LoadBearingCapacity (kPa),AlternativeUse,ModificationRecommendation,Success
AU040,Low-rise,100,Pipeline Infrastructure,Reduce liquid limit via compaction,False
AU040,Roads & Highways,70,Pipeline Infrastructure,Reduce liquid limit via compaction,False
AU040,Bridges,120,Pipeline Infrastructure,Reduce liquid limit via compaction,False
AU040,Tunnels,150,Pipeline Infrastructure,Reduce liquid limit via compaction,False
AU040,Railway Tracks,80,Pipeline Infrastructure,Reduce liquid limit via compaction,False
AU040,Pipeline Infrastructure,30,,,True
AU040,Dams,100,Pipeline Infrastructure,Reduce liquid limit via compaction,False
AU040,Water Reservoirs,90,Pipeline Infrastructure,Reduce liquid limit via compaction,False
AU040,Airport Runways,180,Pipeline Infrastructure,Reduce liquid limit via compaction,False
AU041,Residential Building,50,,Reduce liquid limit via compaction,False
AU041,High-rise Building,150,,Reduce liquid limit via compaction,False
AU041,Low-rise,100,,Reduce liquid limit via compaction,False
AU041,Roads & Highways,70,,Reduce liquid limit via compaction,False
AU041,Bridges,120,,Increase CBR in top 2 layers,False
AU041,Tunnels,150,,Reduce liquid limit via compaction,False
AU041,Railway Tracks,80,,Reduce liquid limit via compaction,False
AU041,Pipeline Infrastructure,30,,Reduce liquid limit via compaction,False
AU041,Dams,100,,Reduce liquid limit via compaction,False
AU041,Water Reservoirs,90,,Reduce liquid limit via compaction,False
AU041,Airport Runways,180,,Increase CBR in top 2 layers,False
AU042,Residential Building,50,Pipeline Infrastructure,Increase CBR in top 2 layers,False
AU042,High-rise Building,150,Pipeline Infrastructure,Use deep foundations or densify subsoil,False
AU042,Low-rise,100,Pipeline Infrastructure,Increase CBR in top 2 layers,False
AU042,Roads & Highways,70,Pipeline Infrastructure,Increase CBR in top 2 layers,False
AU042,Bridges,120,Pipeline Infrastructure,Increase CBR in top 2 layers,False
AU042,Tunnels,150,Pipeline Infrastructure,Increase CBR in top 2 layers,False
AU042,Railway Tracks,80,Pipeline Infrastructure,Use deep foundations or densify subsoil,False
AU042,Pipeline Infrastructure,30,,,True
AU042,Dams,100,Pipeline Infrastructure,Increase CBR in top 2 layers,False
AU042,Water Reservoirs,90,Pipeline Infrastructure,Use deep foundations or densify subsoil,False
AU042,Airport Runways,180,Pipeline Infrastructure,Increase CBR in top 2 layers,False
AU043,Residential Building,50,Pipeline Infrastructure,Use deep foundations or densify subsoil,False
AU043,High-rise Building,150,Pipeline Infrastructure,Increase CBR in top 2 layers,False
AU043,Low-rise,100,Pipeline Infrastructure,Use deep foundations or densify subsoil,False
AU043,Roads & Highways,70,Pipeline Infrastructure,Use deep foundations or densify subsoil,False
AU043,Bridges,120,Pipeline Infrastructure,Use deep foundations or densify subsoil,False
AU043,Tunnels,150,Pipeline Infrastructure,Increase CBR in top 2 layers,False
AU043,Railway Tracks,80,Pipeline Infrastructure,Use deep foundations or densify subsoil,False
AU043,Pipeline Infrastructure,30,,,True
AU043,Dams,100,Pipeline Infrastructure,Use deep foundations or densify subsoil,False
AU043,Water Reservoirs,90,Pipeline Infrastructure,Use deep foundations or densify subsoil,False
AU043,Airport Runways,180,Pipeline Infrastructure,Increase CBR in top 2 layers,False
AU044,Residential Building,50,,,True
AU044,High-rise Building,150,Residential Building,Reduce liquid limit via compaction,False
AU044,Low-rise,100,Residential Building,Use deep foundations or densify subsoil,False
AU044,Roads & Highways,70,Residential Building,Increase CBR in top 2 layers,False
AU044,Bridges,120,Residential Building,Increase CBR in top 2 layers,False
AU044,Tunnels,150,Residential Building,Use deep foundations or densify subsoil,False
AU044,Railway Tracks,80,Residential Building,Increase CBR in top 2 layers,False
AU044,Pipeline Infrastructure,30,,,True
AU044,Dams,100,Residential Building,Increase CBR in top 2 layers,False
AU044,Water Reservoirs,90,Residential Building,Increase CBR in top 2 layers,False
AU044,Airport Runways,180,Residential Building,Increase CBR in top 2 layers,False
AU046,Residential Building,50,,Use deep foundations or densify subsoil,False
AU046,High-rise Building,150,,Increase CBR in top 2 layers,False
AU046,Low-rise,100,,Increase CBR in top 2 layers,False
AU046,Roads & Highways,70,,Use deep foundations or densify subsoil,False
AU046,Bridges,120,,Increase CBR in top 2 layers,False
AU046,Tunnels,150,,Use deep foundations or densify subsoil,False
AU046,Railway Tracks,80,,Use deep foundations or densify subsoil,False
AU046,Pipeline Infrastructure,30,,Increase CBR in top 2 layers,False
AU046,Dams,100,,Use deep foundations or densify subsoil,False
AU046,Water Reservoirs,90,,Use deep foundations or densify subsoil,False
AU046,Airport Runways,180,,Reduce liquid limit via compaction,False
AU047,Residential Building,50,,Reduce liquid limit via compaction,False
AU047,High-rise Building,150,,Increase CBR in top 2 layers,False
AU047,Low-rise,100,,Reduce liquid limit via compaction,False
AU047,Roads & Highways,70,,Reduce liquid limit via compaction,False
AU047,Bridges,120,,Reduce liquid limit via compaction,False
AU047,Tunnels,150,,Use deep foundations or densify subsoil,False
AU047,Railway Tracks,80,,Reduce liquid limit via compaction,False
AU047,Pipeline Infrastructure,30,,Reduce liquid limit via compaction,False
AU047,Dams,100,,Reduce liquid limit via compaction,False
AU047,Water Reservoirs,90,,Reduce liquid limit via compaction,False
AU047,Airport Runways,180,,Reduce liquid limit via compaction,False
BD017,Residential Building,50,,Reduce liquid limit via compaction,False
BD017,High-rise Building,150,,Increase CBR in top 2 layers,False
BD017,Low-rise,100,,Reduce liquid limit via compaction,False
BD017,Roads & Highways,70,,Reduce liquid limit via compaction,False
BD017,Bridges,120,,Reduce liquid limit via compaction,False
BD017,Tunnels,150,,Reduce liquid limit via compaction,False
BD017,Railway Tracks,80,,Reduce liquid limit via compaction,False
BD017,Pipeline Infrastructure,30,,Reduce liquid limit via compaction,False
BD017,Dams,100,,Reduce liquid limit via compaction,False
BD017,Water Reservoirs,90,,Reduce liquid limit via compaction,False
BD017,Airport Runways,180,,Increase CBR in top 2 layers,False
BD018,Residential Building,50,,,True
BD018,High-rise Building,150,Residential Building,Use deep foundations or densify subsoil,False
BD018,Low-rise,100,Residential Building,Use deep foundations or densify subsoil,False
BD018,Roads & Highways,70,Residential Building,Use deep foundations or densify subsoil,False
BD018,Bridges,120,Residential Building,Increase CBR in top 2 layers,False
BD018,Tunnels,150,Residential Building,Increase CBR in top 2 layers,False
BD018,Railway Tracks,80,Residential Building,Increase CBR in top 2 layers,False
BD018,Pipeline Infrastructure,30,,,True
BD018,Dams,100,Residential Building,Increase CBR in top 2 layers,False
BD018,Water Reservoirs,90,Residential Building,Increase CBR in top 2 layers,False
BD018,Airport Runways,180,Residential Building,Increase CBR in top 2 layers,False
BD019,Residential Building,50,,Reduce liquid limit via compaction,False
BD019,High-rise Building,150,,Use deep foundations or densify subsoil,False
BD019,Low-rise,100,,Reduce liquid limit via compaction,False
BD019,Roads & Highways,70,,Increase CBR in top 2 layers,False
BD019,Bridges,120,,Increase CBR in top 2 layers,False
BD019,Tunnels,150,,Reduce liquid limit via compaction,False
BD019,Railway Tracks,80,,Reduce liquid limit via compaction,False
BD019,Pipeline Infrastructure,30,,Reduce liquid limit via compaction,False
BD019,Dams,100,,Use deep foundations or densify subsoil,False
BD019,Water Reservoirs,90,,Reduce liquid limit via compaction,False
BD019,Airport Runways,180,,Use deep foundations or densify subsoil,False
BE007,Residential Building,50,,Increase CBR in top 2 layers,False
BE007,High-rise Building,150,,Increase CBR in top 2 layers,False
BE007,Low-rise,100,,Increase CBR in top 2 layers,False
BE007,Roads & Highways,70,,Increase CBR in top 2 layers,False
BE007,Bridges,120,,Use deep foundations or densify subsoil,False
BE007,Tunnels,150,,Use deep foundations or densify subsoil,False
BE007,Railway Tracks,80,,Increase CBR in top 2 layers,False
BE007,Pipeline Infrastructure,30,,Increase CBR in top 2 layers,False
BE007,Dams,100,,Increase CBR in top 2 layers,False
BE007,Water Reservoirs,90,,Use deep foundations or densify subsoil,False
BE007,Airport Runways,180,,Reduce liquid limit via compaction,False
BF001,Residential Building,50,Pipeline Infrastructure,Reduce liquid limit via compaction,False
BF001,High-rise Building,150,Pipeline Infrastructure,Reduce liquid limit via compaction,False
BF001,Low-rise,100,Pipeline Infrastructure,Use deep foundations or densify subsoil,False
BF001,Roads & Highways,70,Pipeline Infrastructure,Reduce liquid limit via compaction,False
BF001,Bridges,120,Pipeline Infrastructure,Use deep foundations or densify subsoil,False
BF001,Tunnels,150,Pipeline Infrastructure,Reduce liquid limit via compaction,False
BF001,Railway Tracks,80,Pipeline Infrastructure,Reduce liquid limit via compaction,False
BF001,Pipeline Infrastructure,30,,,True
BF001,Dams,100,Pipeline Infrastructure,Reduce liquid limit via compaction,False
BF001,Water Reservoirs,90,Pipeline Infrastructure,Reduce liquid limit via compaction,False
BF001,Airport Runways,180,Pipeline Infrastructure,Increase CBR in top 2 layers,False
BI005,Residential Building,50,,,True
BI005,High-rise Building,150,Residential Building,Reduce liquid limit via compaction,False
BI005,Low-rise,100,Residential Building,Use deep foundations or densify subsoil,False
BI005,Roads & Highways,70,,,True
BI005,Bridges,120,Residential Building,Increase CBR in top 2 layers,False
BI005,Tunnels,150,Residential Building,Increase CBR in top 2 layers,False
BI005,Railway Tracks,80,Residential Building,Use deep foundations or densify subsoil,False
BI005,Pipeline Infrastructure,30,,,True
BI005,Dams,100,Residential Building,Use deep foundations or densify subsoil,False
BI005,Water Reservoirs,90,Residential Building,Use deep foundations or densify subsoil,False
BI005,Airport Runways,180,Residential Building,Reduce liquid limit via compaction,False
BI006,Residential Building,50,Pipeline Infrastructure,Reduce liquid limit via compaction,False
BI006,High-rise Building,150,Pipeline Infrastructure,Reduce liquid limit via compaction,False
BI006,Low-rise,100,Pipeline Infrastructure,Use deep foundations or densify subsoil,False
BI006,Roads & Highways,70,Pipeline Infrastructure,Reduce liquid limit via compaction,False
BI006,Bridges,120,Pipeline Infrastructure,Reduce liquid limit via compaction,False
BI006,Tunnels,150,Pipeline Infrastructure,Use deep foundations or densify subsoil,False
BI006,Railway Tracks,80,Pipeline Infrastructure,Reduce liquid limit via compaction,False
BI006,Pipeline Infrastructure,30,,,True
BI006,Dams,100,Pipeline Infrastructure,Reduce liquid limit via compaction,False
BI006,Water Reservoirs,90,Pipeline Infrastructure,Reduce liquid limit via compaction,False
BI006,Airport Runways,180,Pipeline Infrastructure,Increase CBR in top 2 layers,False
BI007,Residential Building,50,,,True
BI007,High-rise Building,150,Residential Building,Increase CBR in top 2 layers,False
BI007,Low-rise,100,Residential Building,Use deep foundations or densify subsoil,False
BI007,Roads & Highways,70,Residential Building,Increase CBR in top 2 layers,False
BI007,Bridges,120,Residential Building,Increase CBR in top 2 layers,False
BI007,Tunnels,150,Residential Building,Reduce liquid limit via compaction,False
BI007,Railway Tracks,80,Residential Building,Use deep foundations or densify subsoil,False
BI007,Pipeline Infrastructure,30,,,True
BI007,Dams,100,Residential Building,Use deep foundations or densify subsoil,False
BI007,Water Reservoirs,90,Residential Building,Increase CBR in top 2 layers,False
BI007,Airport Runways,180,Residential Building,Reduce liquid limit via compaction,False
BI008,Residential Building,50,,,True
BI008,High-rise Building,150,Residential Building,Increase CBR in top 2 layers,False
BI008,Low-rise,100,Residential Building,Use deep foundations or densify subsoil,False
BI008,Roads & Highways,70,Residential Building,Use deep foundations or densify subsoil,False
BI008,Bridges,120,Residential Building,Use deep foundations or densify subsoil,False
BI008,Tunnels,150,Residential Building,Increase CBR in top 2 layers,False
BI008,Railway Tracks,80,Residential Building,Increase CBR in top 2 layers,False
BI008,Pipeline Infrastructure,30,,,True
BI008,Dams,100,Residential Building,Use deep foundations or densify subsoil,False
BI008,Water Reservoirs,90,Residential Building,Increase CBR in top 2 layers,False
BI008,Airport Runways,180,Residential Building,Use deep foundations or densify subsoil,False
BI009,Residential Building,50,,,True
BI009,High-rise Building,150,Residential Building,Use deep foundations or densify subsoil,False
BI009,Low-rise,100,Residential Building,Reduce liquid limit via compaction,False
BI009,Roads & Highways,70,,,True
BI009,Bridges,120,Residential Building,Reduce liquid limit via compaction,False
BI009,Tunnels,150,Residential Building,Use deep foundations or densify subsoil,False
BI009,Railway Tracks,80,Residential Building,Use deep foundations or densify subsoil,False
BI009,Pipeline Infrastructure,30,,,True
BI009,Dams,100,Residential Building,Reduce liquid limit via compaction,False
BI009,Water Reservoirs,90,Residential Building,Use deep foundations or densify subsoil,False
BI009,Airport Runways,180,Residential Building,Use deep foundations or densify subsoil,False
BI010,Residential Building,50,,,True
BI010,High-rise Building,150,Residential Building,Use deep foundations or densify subsoil,False
BI010,Low-rise,100,,,True
BI010,Roads & Highways,70,,,True
BI010,Bridges,120,,,True
BI010,Tunnels,150,Bridges,Use deep foundations or densify subsoil,False
BI010,Railway Tracks,80,,,True
BI010,Pipeline Infrastructure,30,,,True
BI010,Dams,100,,,True
BI010,Water Reservoirs,90,,,True
BI010,Airport Runways,180,Residential Building,Use deep foundations or densify subsoil,False
BI011,Residential Building,50,,,True
BI011,High-rise Building,150,Residential Building,Use deep foundations or densify subsoil,False
BI011,Low-rise,100,Residential Building,Use deep foundations or densify subsoil,False
BI011,Roads & Highways,70,Residential Building,Use deep foundations or densify subsoil,False
BI011,Bridges,120,Residential Building,Use deep foundations or densify subsoil,False
BI011,Tunnels,150,Residential Building,Increase CBR in top 2 layers,False
BI011,Railway Tracks,80,Residential Building,Increase CBR in top 2 layers,False
BI011,Pipeline Infrastructure,30,,,True
BI011,Dams,100,Residential Building,Increase CBR in top 2 layers,False
BI011,Water Reservoirs,90,Residential Building,Increase CBR in top 2 layers,False
BI011,Airport Runways,180,Residential Building,Use deep foundations or densify subsoil,False
BI012,Residential Building,50,,,True
BI012,High-rise Building,150,Residential Building,Increase CBR in top 2 layers,False
BI012,Low-rise,100,Residential Building,Increase CBR in top 2 layers,False
BI012,Roads & Highways,70,,,True
BI012,Bridges,120,Residential Building,Increase CBR in top 2 layers,False
BI012,Tunnels,150,Residential Building,Use deep foundations or densify subsoil,False
BI012,Railway Tracks,80,Residential Building,Use deep foundations or densify subsoil,False
BI012,Pipeline Infrastructure,30,,,True
BI012,Dams,100,Residential Building,Increase CBR in top 2 layers,False
BI012,Water Reservoirs,90,Residential Building,Reduce liquid limit via compaction,False
BI012,Airport Runways,180,Residential Building,Use deep foundations or densify subsoil,False
BI013,Residential Building,50,,Reduce liquid limit via compaction,False
BI013,High-rise Building,150,,Reduce liquid limit via compaction,False
BI013,Low-rise,100,,Increase CBR in top 2 layers,False
BI013,Roads & Highways,70,,Use deep foundations or densify subsoil,False
BI013,Bridges,120,,Use deep foundations or densify subsoil,False
BI013,Tunnels,150,,Reduce liquid limit via compaction,False
BI013,Railway Tracks,80,,Use deep foundations or densify subsoil,False
BI013,Pipeline Infrastructure,30,,Reduce liquid limit via compaction,False
BI013,Dams,100,,Reduce liquid limit via compaction,False
BI013,Water Reservoirs,90,,Increase CBR in top 2 layers,False
BI013,Airport Runways,180,,Use deep foundations or densify subsoil,False
BI014,Residential Building,50,Pipeline Infrastructure,Increase CBR in top 2 layers,False
BI014,High-rise Building,150,Pipeline Infrastructure,Use deep foundations or densify subsoil,False
BI014,Low-rise,100,Pipeline Infrastructure,Increase CBR in top 2 layers,False
BI014,Roads & Highways,70,Pipeline Infrastructure,Increase CBR in top 2 layers,False
BI014,Bridges,120,Pipeline Infrastructure,Use deep foundations or densify subsoil,False
BI014,Tunnels,150,Pipeline Infrastructure,Use deep foundations or densify subsoil,False
BI014,Railway Tracks,80,Pipeline Infrastructure,Use deep foundations or densify subsoil,False
BI014,Pipeline Infrastructure,30,,,True
BI014,Dams,100,Pipeline Infrastructure,Increase CBR in top 2 layers,False
BI014,Water Reservoirs,90,Pipeline Infrastructure,Increase CBR in top 2 layers,False
BI014,Airport Runways,180,Pipeline Infrastructure,Use deep foundations or densify subsoil,False
BI015,Residential Building,50,,,True
BI015,High-rise Building,150,Residential Building,Increase CBR in top 2 layers,False
BI015,Low-rise,100,Residential Building,Use deep foundations or densify subsoil,False
BI015,Roads & Highways,70,,,True
BI015,Bridges,120,Residential Building,Increase CBR in top 2 layers,False
BI015,Tunnels,150,Residential Building,Increase CBR in top 2 layers,False
BI015,Railway Tracks,80,,,True
BI015,Pipeline Infrastructure,30,,,True
BI015,Dams,100,Residential Building,Use deep foundations or densify subsoil,False
BI015,Water Reservoirs,90,,,True
BI015,Airport Runways,180,Residential Building,Increase CBR in top 2 layers,False
BI016,Residential Building,50,,,True
BI016,High-rise Building,150,Residential Building,Use deep foundations or densify subsoil,False
BI016,Low-rise,100,Residential Building,Use deep foundations or densify subsoil,False
BI016,Roads & Highways,70,Residential Building,Use deep foundations or densify subsoil,False
BI016,Bridges,120,Residential Building,Increase CBR in top 2 layers,False
BI016,Tunnels,150,Residential Building,Increase CBR in top 2 layers,False
BI016,Railway Tracks,80,Residential Building,Increase CBR in top 2 layers,False
BI016,Pipeline Infrastructure,30,,,True
BI016,Dams,100,Residential Building,Increase CBR in top 2 layers,False
BI016,Water Reservoirs,90,Residential Building,Use deep foundations or densify subsoil,False
BI016,Airport Runways,180,Residential Building,Use deep foundations or densify subsoil,False
BR045,Residential Building,50,,Use deep foundations or densify subsoil,False
BR045,High-rise Building,150,,Reduce liquid limit via compaction,False
BR045,Low-rise,100,,Use deep foundations or densify subsoil,False
BR045,Roads & Highways,70,,Reduce liquid limit via compaction,False
BR045,Bridges,120,,Increase CBR in top 2 layers,False
BR045,Tunnels,150,,Use deep foundations or densify subsoil,False
BR045,Railway Tracks,80,,Use deep foundations or densify subsoil,False
BR045,Pipeline Infrastructure,30,,Increase CBR in top 2 layers,False
BR045,Dams,100,,Increase CBR in top 2 layers,False
BR045,Water Reservoirs,90,,Reduce liquid limit via compaction,False
BR045,Airport Runways,180,,Use deep foundations or densify subsoil,False
BR046,Residential Building,50,Pipeline Infrastructure,Reduce liquid limit via compaction,False
BR046,High-rise Building,150,Pipeline Infrastructure,Use deep foundations or densify subsoil,False
BR046,Low-rise,100,Pipeline Infrastructure,Reduce liquid limit via compaction,False
BR046,Roads & Highways,70,Pipeline Infrastructure,Reduce liquid limit via compaction,False
BR046,Bridges,120,Pipeline Infrastructure,Reduce liquid limit via compaction,False
BR046,Tunnels,150,Pipeline Infrastructure,Use deep foundations or densify subsoil,False
BR046,Railway Tracks,80,Pipeline Infrastructure,Reduce liquid limit via compaction,False
BR046,Pipeline Infrastructure,30,,,True
BR046,Dams,100,Pipeline Infrastructure,Increase CBR in top 2 layers,False
BR046,Water Reservoirs,90,Pipeline Infrastructure,Use deep foundations or densify subsoil,False
