WISE_ID,TOPDEP,BOTDEP,SAND,SILT,CLAY,GRAVEL,BULKDENS,OMC,MDD,CBR,LLMT,PLIND,POROS
AR045,47.0,80.0,72.0,17.0,11.0,18.2,0.9,22.8,1.9,4.2,28.3,14.9,43.7
AR045,80.0,110.0,74.0,16.0,10.0,18.2,0.9,17.4,1.7,5.7,41.1,16.5,32.6
AR045,110.0,130.0,75.0,16.0,9.0,18.2,0.9,14.6,1.8,2.9,38.1,5.1,43.6
AR045,130.0,180.0,73.0,13.0,14.0,18.2,0.9,16.0,2.1,6.1,37.7,11.7,35.1
AU032,0.0,5.0,92.0,6.0,2.0,18.2,0.9,21.3,1.8,11.1,39.0,20.8,29.0
AU032,5.0,20.0,92.0,6.0,2.0,18.2,0.9,13.0,1.7,11.3,38.8,20.8,41.9
AU032,20.0,35.0,79.4,7.8,12.7,18.2,0.9,27.1,2.0,11.4,39.0,10.4,36.7
AU032,35.0,50.0,79.2,8.2,12.4,18.2,0.9,21.3,1.6,10.6,48.8,14.3,35.1
AU032,50.0,55.0,76.0,13.0,11.0,18.2,0.9,16.8,1.8,11.2,21.7,27.2,34.0
AU032,55.0,75.0,74.0,8.0,18.0,18.2,0.9,27.7,1.9,7.6,35.3,28.6,22.6
AU032,75.0,90.0,79.2,7.8,12.0,18.2,0.9,20.8,1.8,14.4,38.9,20.9,44.8
AU032,90.0,120.0,63.0,8.0,29.0,18.2,0.9,21.1,2.1,11.4,50.6,23.5,34.9
AU033,0.0,15.0,91.0,6.0,3.0,18.2,0.9,21.1,1.9,4.5,43.4,21.5,36.7
AU033,15.0,30.0,86.0,8.0,6.0,18.2,0.9,22.7,1.7,5.4,37.4,21.7,43.1
AU033,30.0,40.0,82.0,9.0,9.0,18.2,0.9,20.8,1.8,9.1,43.0,26.4,36.0
AU033,40.0,75.0,73.0,7.0,20.0,18.2,0.9,22.4,1.7,4.9,42.6,22.7,27.9
AU033,75.0,90.0,50.0,8.0,42.0,18.2,0.9,12.7,2.0,5.0,42.5,25.4,35.4
AU033,90.0,120.0,76.2,8.1,16.1,18.2,0.9,24.7,1.8,4.0,58.0,16.5,35.7
AU033,120.0,150.0,76.1,8.0,15.6,18.2,0.9,20.3,1.9,3.5,33.7,18.6,35.7
AU034,0.0,15.0,46.0,19.0,35.0,18.2,0.9,24.1,1.4,12.5,59.6,5.8,34.2
AU034,15.0,46.0,46.0,20.0,34.0,18.2,0.9,23.6,1.8,14.3,32.7,11.9,33.5
AU034,46.0,61.0,52.0,28.0,20.0,18.2,0.9,16.2,2.3,13.4,32.0,16.2,32.8
AU034,61.0,76.0,57.7,18.7,23.3,18.2,0.9,27.9,1.8,6.8,41.2,15.2,31.8
AU034,76.0,91.0,66.0,17.0,17.0,18.2,0.9,28.0,1.7,10.9,46.4,26.3,33.6
AU034,91.0,107.0,79.0,11.0,10.0,18.2,0.9,24.3,1.8,8.7,37.1,14.6,36.4
AU035,0.0,20.0,26.0,34.0,40.0,18.2,0.9,20.8,1.7,6.4,59.9,29.1,36.7
AU035,20.0,30.0,22.0,35.0,43.0,18.2,0.9,15.8,1.9,11.4,55.3,18.8,35.9
AU035,30.0,78.0,24.0,28.0,48.0,18.2,0.9,20.7,1.6,6.5,24.6,6.8,24.7
AU035,78.0,110.0,32.8,27.4,40.3,18.2,0.9,21.1,1.8,4.4,44.0,22.6,43.3
AU035,110.0,138.0,38.0,24.0,38.0,18.2,0.9,16.3,1.5,6.8,43.8,19.5,35.4
AU035,138.0,160.0,52.0,17.0,31.0,18.2,0.9,20.5,2.1,6.6,42.4,13.6,39.0
AU035,160.0,200.0,32.6,27.5,39.9,18.2,0.9,23.8,1.8,5.2,43.9,16.7,43.0
AU035,200.0,220.0,32.8,27.3,40.1,18.2,0.9,26.6,1.5,5.6,39.0,22.2,37.3
AU036,0.0,10.0,57.0,22.0,21.0,18.2,0.9,16.2,1.9,14.2,53.6,11.1,37.2
AU036,10.0,36.0,60.0,20.0,20.0,18.2,0.9,18.4,2.1,9.9,53.1,10.7,48.6
AU036,36.0,61.0,53.0,26.0,21.0,18.2,0.9,12.0,1.9,8.5,53.2,10.8,43.1
AU036,61.0,76.0,53.0,24.0,23.0,18.2,0.9,28.1,1.8,3.0,53.0,11.0,42.7
AU037,0.0,5.0,84.0,10.0,6.0,18.2,0.9,14.3,1.8,6.0,44.2,20.4,21.3
AU037,5.0,30.0,84.0,7.0,9.0,18.2,0.9,10.1,2.1,14.5,54.4,20.1,31.8
AU037,30.0,45.0,84.0,7.0,9.0,18.2,0.9,16.4,2.1,8.7,44.5,24.2,36.6
AU037,43.0,48.0,70.0,10.0,20.0,18.2,0.9,11.7,1.6,9.6,39.8,24.9,38.8
AU037,48.0,61.0,50.0,7.0,43.0,18.2,0.9,13.0,2.2,8.2,44.0,28.5,32.5
AU037,61.0,74.0,74.2,8.3,17.7,18.2,0.9,13.4,1.8,4.2,38.3,24.6,32.4
AU037,99.0,104.0,73.9,8.5,17.3,18.2,0.9,18.5,1.7,12.7,44.6,28.9,32.0
AU038,0.0,15.0,38.1,29.1,33.7,18.2,0.9,18.4,1.9,4.8,43.3,14.5,31.5
AU038,15.0,25.0,38.1,29.1,33.7,18.2,0.9,16.7,1.6,6.4,45.9,14.1,26.0
AU038,25.0,61.0,38.1,29.1,33.7,18.2,0.9,21.4,1.8,7.5,29.6,7.9,20.5
AU038,61.0,91.0,38.1,29.1,33.7,18.2,0.9,21.5,1.8,6.2,43.5,20.3,25.8
AU038,91.0,183.0,38.1,29.1,33.7,18.2,0.9,12.6,1.8,6.5,53.8,14.3,26.0
AU039,0.0,10.0,97.0,2.0,1.0,18.2,0.9,27.0,1.9,6.4,37.6,14.6,28.1
AU039,10.0,15.0,78.7,7.4,13.5,18.2,0.9,21.2,1.8,9.0,45.8,10.8,31.5
AU039,15.0,30.0,97.0,2.0,1.0,18.2,0.9,15.3,1.5,3.3,46.3,13.3,34.6
AU039,30.0,90.0,96.0,3.0,1.0,18.2,0.9,21.2,1.9,14.6,35.5,12.1,32.0
AU039,90.0,115.0,79.2,7.7,13.8,18.2,0.9,13.7,1.7,9.5,45.4,12.7,35.7
AU039,115.0,200.0,79.1,7.4,13.4,18.2,0.9,23.8,1.7,13.4,45.6,26.4,20.5
AU039,200.0,400.0,52.0,15.0,33.0,18.2,0.9,26.3,2.2,11.5,50.6,11.9,32.0
AU039,400.0,600.0,52.0,15.0,33.0,18.2,0.9,21.3,2.0,10.2,59.7,14.9,40.0
AU040,0.0,10.0,82.0,4.0,14.0,18.2,0.9,19.3,1.8,11.9,56.0,15.8,31.5
AU040,10.0,30.0,80.0,7.0,13.0,18.2,0.9,10.4,2.2,11.8,32.3,6.0,30.4
AU040,30.0,90.0,80.0,7.0,13.0,18.2,0.9,14.4,1.6,12.7,36.7,17.9,31.3
AU040,90.0,110.0,78.0,9.0,13.0,18.2,0.9,14.9,2.1,12.2,23.0,21.0,34.1
AU040,110.0,130.0,80.2,6.8,13.0,18.2,0.9,15.1,2.0,14.4,37.5,27.2,28.6
AU041,0.0,10.0,78.0,7.0,15.0,18.2,0.9,16.0,1.8,13.2,50.2,17.1,35.0
AU041,10.0,20.0,79.0,8.0,13.0,18.2,0.9,10.4,2.2,7.5,50.4,11.5,35.0
AU041,20.0,60.0,77.0,7.0,16.0,18.2,0.9,16.0,2.0,9.1,50.3,18.6,35.0
AU041,60.0,80.0,78.2,6.9,14.6,18.2,0.9,21.7,2.2,6.8,50.3,21.6,35.0
AU042,0.0,4.0,89.0,4.0,7.0,18.2,0.9,20.1,1.8,4.3,29.5,9.5,35.4
AU042,4.0,10.0,88.0,5.0,7.0,18.2,0.9,13.8,1.6,4.1,29.0,12.9,34.0
AU042,10.0,15.0,77.9,2.6,19.0,18.2,0.9,16.1,1.7,4.4,29.3,6.3,36.8
AU042,15.0,17.0,67.0,1.0,32.0,18.2,0.9,26.1,2.2,3.6,29.0,9.4,34.0
AU042,17.0,23.0,78.1,3.0,18.7,18.2,0.9,20.6,2.1,3.7,29.0,29.6,28.6
AU042,33.0,47.0,78.0,2.6,19.0,18.2,0.9,20.4,2.1,3.9,29.1,11.1,43.8
AU042,47.0,57.0,69.0,1.0,30.0,18.2,0.9,20.4,1.9,3.6,29.5,12.9,27.8
AU042,57.0,107.0,77.8,2.7,18.9,18.2,0.9,25.3,1.6,4.1,29.0,11.4,34.6
AU043,0.0,8.0,9.0,26.0,65.0,18.2,0.9,18.6,1.3,4.8,24.0,8.3,29.7
AU043,8.0,43.0,8.0,26.4,65.1,18.2,0.9,22.4,1.6,4.8,29.1,8.1,29.8
AU043,43.0,71.0,7.0,27.0,66.0,18.2,0.9,18.7,1.8,7.3,34.9,7.6,34.1
AU043,71.0,117.0,8.4,27.0,65.6,18.2,0.9,13.6,1.9,6.1,28.2,8.3,33.9
AU043,122.0,163.0,7.9,26.4,65.1,18.2,0.9,18.7,2.0,5.4,34.5,8.0,32.1
AU043,163.0,229.0,7.8,26.4,65.1,18.2,0.9,18.8,1.9,2.4,58.5,8.1,45.6
AU044,0.0,20.0,74.0,12.0,14.0,18.2,0.9,25.6,2.0,6.2,39.3,10.0,49.3
AU044,20.0,28.0,82.0,6.0,12.0,18.2,0.9,25.3,1.6,5.7,39.0,10.6,44.0
AU044,28.0,107.0,14.0,14.0,72.0,18.2,0.9,25.2,2.3,5.8,39.5,10.1,38.6
AU046,0.0,5.0,76.0,9.0,15.0,18.2,0.9,17.2,2.3,2.0,30.5,18.2,40.1
AU046,5.0,25.0,73.0,6.0,21.0,18.2,0.9,23.1,2.2,2.4,35.5,19.9,39.6
AU046,25.0,41.0,75.0,9.0,16.0,18.2,0.9,29.8,1.6,2.1,54.6,16.9,41.8
AU046,41.0,48.0,81.0,11.0,8.0,18.2,0.9,23.2,1.8,2.4,40.2,23.3,36.4
AU047,0.0,11.0,73.0,7.0,20.0,18.2,0.9,17.6,1.4,12.1,38.6,18.4,37.6
AU047,11.0,38.0,68.0,5.0,27.0,18.2,0.9,11.2,1.6,11.6,53.6,20.6,47.7
AU047,43.0,84.0,57.9,7.9,34.0,18.2,0.9,17.6,1.6,14.9,58.2,21.7,37.4
AU047,84.0,127.0,41.0,11.0,48.0,18.2,0.9,21.6,2.1,12.0,51.3,27.2,37.8
AU047,127.0,168.0,58.5,7.7,34.2,18.2,0.9,20.3,1.6,6.1,50.5,21.9,42.1
AU047,168.0,178.0,51.0,8.0,41.0,18.2,0.9,17.9,1.6,14.3,50.7,22.3,20.8
BD017,0.0,12.0,51.0,35.0,14.0,18.2,0.9,20.8,2.0,13.0,49.3,7.6,29.7
BD017,12.0,32.0,45.0,36.0,19.0,18.2,0.9,27.7,1.8,11.6,49.7,18.3,25.6
BD017,32.0,60.0,52.0,36.0,12.0,18.2,0.9,15.0,2.0,12.0,49.5,29.8,27.7
BD017,60.0,137.0,94.0,1.0,5.0,18.2,0.9,26.6,1.9,10.8,49.7,18.6,37.0
BD018,0.0,10.0,74.0,10.0,16.0,18.2,0.9,28.6,2.1,6.5,37.6,18.2,36.1
BD018,10.0,13.0,83.1,6.4,12.0,18.2,0.9,27.2,1.8,6.8,21.1,18.7,23.0
BD018,13.0,35.0,76.0,8.0,16.0,18.2,0.9,26.1,2.4,6.5,59.4,18.5,39.8
BD018,35.0,50.0,78.0,6.0,16.0,18.2,0.9,27.5,2.1,5.7,37.5,18.6,41.6
BD018,50.0,112.0,90.0,2.0,8.0,18.2,0.9,27.0,2.0,2.7,22.1,18.8,25.1
BD018,112.0,137.0,97.0,6.7,4.0,18.2,0.9,27.6,1.7,11.7,59.7,18.0,36.2
BD019,0.0,8.0,20.0,24.0,56.0,18.2,0.9,27.1,1.6,3.2,48.3,14.5,35.2
BD019,8.0,13.0,27.1,20.2,53.7,18.2,0.9,26.5,2.3,8.5,43.1,26.8,40.8
BD019,13.0,48.0,5.0,17.0,78.0,18.2,0.9,27.0,2.3,7.8,42.4,6.1,27.6
BD019,48.0,73.0,18.0,22.0,60.0,18.2,0.9,26.7,2.1,8.0,39.9,14.7,33.5
BD019,73.0,100.0,47.0,18.0,35.0,18.2,0.9,27.2,2.1,12.9,42.7,16.8,33.3
BD019,100.0,138.0,45.0,18.0,37.0,18.2,0.9,26.8,2.1,8.1,40.1,7.5,29.6
BE007,0.0,30.0,66.0,22.0,12.0,18.2,0.9,21.1,2.0,2.3,32.9,19.7,32.8
BE007,30.0,95.0,58.0,24.0,18.0,18.2,0.9,20.9,2.1,1.9,35.5,21.2,32.1
BE007,95.0,250.0,64.0,21.0,15.0,18.2,0.9,24.5,2.3,2.3,51.2,18.5,32.1
BE007,250.0,295.0,62.0,24.0,14.0,18.2,0.9,25.9,1.7,2.0,35.4,19.9,32.4
BE007,295.0,315.0,61.0,27.0,12.0,18.2,0.9,29.9,1.9,2.1,22.8,19.7,32.4
BF001,0.0,8.0,63.0,23.0,14.0,18.2,2.1,27.1,2.3,8.8,28.1,21.8,45.4
BF001,8.0,9.0,57.0,16.4,27.0,18.2,1.8,19.5,2.0,10.4,55.7,29.5,40.9
BF001,9.0,14.0,62.0,23.0,15.0,18.2,1.9,20.1,2.2,6.3,41.5,19.4,35.8
BF001,14.0,21.0,56.0,17.0,27.0,18.2,2.0,23.3,2.2,8.9,52.6,22.0,31.2
BF001,21.0,40.0,52.0,15.0,33.0,18.2,2.0,19.6,2.1,8.6,41.2,15.6,37.3
BF001,40.0,60.0,54.0,11.0,35.0,18.2,2.0,20.4,2.0,8.5,41.3,19.0,47.7
BF001,60.0,140.0,61.0,9.0,30.0,18.2,2.0,10.9,2.3,6.9,24.3,5.4,41.1
BF001,140.0,180.0,54.0,14.0,32.0,18.2,2.0,18.3,2.5,13.6,44.9,22.1,48.8
BI005,0.0,12.0,75.0,18.0,7.0,18.2,1.5,12.2,1.7,7.0,39.3,14.2,33.2
BI005,12.0,25.0,77.0,17.0,6.0,18.2,1.5,20.7,1.8,8.5,40.0,18.2,42.1
BI005,25.0,41.0,70.0,17.0,13.0,18.2,1.8,15.3,1.9,8.3,23.3,13.8,28.2
BI005,41.0,78.0,70.0,16.0,14.0,18.2,1.8,14.6,2.0,7.0,39.6,13.8,34.8
BI005,78.0,101.0,61.0,16.0,23.0,18.2,1.8,15.5,1.7,8.8,39.5,16.1,24.2
BI005,101.0,155.0,57.0,18.0,25.0,18.2,1.8,15.2,1.8,6.4,41.9,8.4,34.7
BI005,155.0,210.0,58.0,19.0,23.0,18.2,1.7,12.5,2.2,13.4,53.9,13.9,32.6
BI006,0.0,12.0,17.0,14.0,69.0,18.2,1.6,10.6,1.9,10.1,50.0,25.7,20.7
BI006,12.0,60.0,13.0,10.0,77.0,18.2,1.6,29.3,1.7,9.8,39.1,7.0,33.4
BI006,60.0,100.0,11.0,10.0,79.0,18.2,1.8,14.1,1.4,10.8,38.7,9.2,37.7
BI006,100.0,165.0,7.0,11.0,82.0,18.2,1.8,19.9,1.7,15.0,39.1,26.3,48.6
BI006,165.0,180.0,11.0,15.0,74.0,18.2,1.7,26.0,1.8,3.5,28.3,27.4,47.3
BI007,-10.0,103.5,47.4,25.6,26.7,18.2,1.1,12.8,1.6,5.1,36.4,22.0,27.6
BI007,0.0,28.0,43.0,17.0,40.0,18.2,0.7,28.8,1.7,6.1,39.1,21.3,38.9
BI007,28.0,54.0,42.0,31.0,27.0,18.2,0.7,23.4,1.4,5.7,31.5,6.4,29.8
BI007,54.0,100.0,47.0,33.0,20.0,18.2,0.9,23.0,1.9,4.7,44.9,24.7,32.6
BI007,100.0,144.0,58.0,25.0,17.0,18.2,1.0,21.6,2.2,6.0,38.5,30.0,33.5
BI007,144.0,190.0,47.0,22.0,31.0,18.2,1.5,29.9,1.4,7.7,42.9,25.9,32.4
BI008,0.0,14.0,72.0,11.0,17.0,0.8,1.0,13.2,1.7,6.9,23.7,22.3,41.9
BI008,14.0,54.0,75.0,21.0,4.0,1.0,1.1,12.8,2.0,4.8,34.0,23.7,41.3
BI008,54.0,110.0,75.0,22.0,3.0,1.0,1.1,10.7,2.5,7.0,44.5,23.9,35.3
BI008,110.0,126.0,78.0,20.0,2.0,0.8,1.1,18.4,2.0,3.6,23.4,28.8,41.8
BI008,126.0,137.0,79.0,19.0,2.0,1.0,1.1,10.6,2.1,6.5,37.1,24.4,48.0
BI008,137.0,167.0,79.0,17.0,4.0,1.1,1.3,13.0,2.3,11.6,39.4,23.7,41.3
BI008,167.0,200.0,78.0,17.0,5.0,1.2,1.3,13.0,1.6,6.4,33.4,20.5,41.5
BI009,0.0,21.0,49.0,21.0,30.0,18.2,0.8,13.3,1.9,7.4,45.6,20.1,26.5
BI009,21.0,40.0,58.0,33.0,9.0,18.2,0.9,21.2,2.1,7.9,32.8,19.7,27.0
BI009,40.0,78.0,61.0,31.0,8.0,18.2,1.0,25.5,2.1,7.9,21.8,5.8,26.4
BI009,78.0,105.0,66.0,23.0,11.0,18.2,1.0,21.9,2.3,5.8,39.1,27.7,26.4
BI009,105.0,174.0,55.0,18.0,27.0,18.2,1.2,25.5,1.8,8.8,39.3,19.7,24.2
BI009,174.0,220.0,46.0,11.0,43.0,18.2,1.4,21.3,1.9,11.9,56.2,26.5,28.9
BI010,0.0,20.0,42.0,25.0,33.0,18.2,1.3,25.9,1.8,12.8,28.8,14.9,42.6
BI010,20.0,75.0,51.0,27.0,22.0,18.2,1.2,25.7,1.3,11.9,20.4,7.9,34.9
BI010,75.0,111.0,51.0,28.0,21.0,18.2,1.1,25.8,1.6,12.5,36.9,13.0,35.5
BI010,111.0,166.0,56.0,20.0,24.0,18.2,1.2,25.3,1.9,13.6,28.7,13.6,35.4
BI010,166.0,200.0,54.0,21.0,25.0,18.2,1.3,25.8,2.2,13.0,29.0,17.4,28.3
BI011,0.0,15.0,50.0,17.0,33.0,18.0,1.2,26.6,2.0,6.6,35.8,21.1,27.7
BI011,15.0,50.0,56.0,15.0,29.0,15.0,1.0,19.9,2.1,7.0,32.6,18.6,28.2
BI011,50.0,100.0,31.0,22.0,47.0,17.0,1.3,22.2,2.5,9.2,48.7,25.8,27.4
BI011,100.0,150.0,37.0,25.0,38.0,10.0,1.4,19.3,2.1,6.5,38.5,9.9,28.1
BI011,150.0,190.0,41.0,31.0,28.0,10.0,1.5,21.7,1.7,4.4,23.3,19.0,27.7
BI012,0.0,15.0,51.0,15.0,34.0,18.2,1.2,19.1,1.7,4.6,33.2,23.7,31.7
BI012,15.0,40.0,54.0,24.0,22.0,18.2,1.1,19.1,2.0,10.8,43.4,16.8,22.3
BI012,40.0,70.0,64.0,23.0,13.0,18.2,1.0,19.5,1.3,7.9,42.9,17.0,31.4
BI012,70.0,110.0,64.0,19.0,17.0,18.2,1.2,19.7,1.4,12.4,43.2,16.8,33.0
BI012,110.0,170.0,60.0,15.0,25.0,18.2,1.2,19.4,1.5,8.6,53.3,14.3,31.4
BI012,170.0,210.0,41.0,16.0,43.0,18.2,1.3,19.7,1.5,5.3,42.9,11.9,38.5
BI013,0.0,12.0,53.0,19.0,28.0,18.2,1.1,20.6,2.2,4.9,57.7,14.2,25.3
BI013,12.0,30.0,58.0,20.0,22.0,18.2,1.1,21.9,1.6,6.7,34.9,25.4,31.9
BI013,30.0,55.0,57.0,26.0,17.0,18.2,1.0,25.6,2.0,6.8,38.5,15.7,46.5
BI013,55.0,90.0,69.0,17.0,14.0,18.2,1.1,21.1,2.0,4.7,37.2,5.8,31.7
BI013,90.0,150.0,71.0,12.0,17.0,18.2,1.2,13.9,1.7,11.7,38.9,18.7,24.8
BI013,150.0,200.0,55.0,20.0,25.0,18.2,1.5,21.6,2.0,5.3,25.2,16.4,31.7
BI014,0.0,10.0,56.0,28.0,16.0,18.2,1.2,10.4,1.7,4.4,29.3,20.6,30.4
BI014,10.0,43.0,56.0,34.0,10.0,18.2,1.0,13.1,2.4,4.3,31.3,20.8,31.7
BI014,43.0,80.0,67.0,26.0,7.0,18.2,0.9,13.4,2.0,4.2,48.1,24.1,32.1
BI014,80.0,120.0,66.0,15.0,19.0,18.2,1.1,15.4,1.5,4.0,22.3,17.9,31.0
BI014,120.0,185.0,64.0,12.0,24.0,18.2,1.2,12.9,2.2,4.4,27.4,20.7,31.3
BI015,0.0,23.0,72.0,12.0,16.0,60.0,1.5,18.5,2.0,9.5,34.3,17.4,20.6
BI015,23.0,42.0,61.0,13.0,26.0,25.0,1.6,18.3,1.8,9.8,34.3,17.8,37.7
BI015,42.0,66.0,47.0,10.0,43.0,30.0,1.5,10.1,2.0,13.9,34.6,17.8,40.8
BI015,66.0,93.0,63.0,10.0,27.0,25.0,1.5,27.4,1.8,8.5,25.0,17.6,37.9
BI015,93.0,130.0,61.0,13.0,26.0,15.0,1.7,18.5,2.0,2.5,30.3,17.7,42.7
BI015,130.0,168.0,61.0,14.0,25.0,31.2,1.7,18.9,1.9,12.5,49.1,17.8,46.1
BI016,0.0,9.0,58.0,10.0,32.0,8.0,1.6,17.5,2.1,3.7,30.3,27.9,46.3
BI016,9.0,44.0,54.0,9.0,37.0,15.0,1.5,18.0,1.7,9.2,39.3,14.6,41.8
BI016,44.0,72.0,52.0,5.0,43.0,60.0,1.6,18.0,1.7,6.2,39.5,19.0,45.7
BI016,44.0,72.0,53.0,8.0,39.0,40.0,1.6,18.1,1.8,6.1,39.3,21.4,40.2
BI016,72.0,100.0,37.0,6.0,57.0,60.0,1.5,17.6,2.3,6.0,39.4,21.9,40.9
BI016,100.0,190.0,30.0,8.0,62.0,25.0,1.4,17.9,1.6,6.7,49.2,24.7,27.8
BR045,0.0,10.0,64.0,18.0,18.0,18.2,0.9,22.9,1.8,2.8,57.7,27.7,22.2
BR045,10.0,30.0,61.0,17.0,22.0,18.2,0.9,14.2,2.2,2.9,38.3,25.9,38.8
BR045,30.0,45.0,57.0,17.0,26.0,18.2,0.9,19.3,1.8,2.2,49.5,22.3,32.7
BR045,45.0,75.0,45.0,15.0,40.0,18.2,0.9,22.3,1.9,2.8,48.6,22.0,32.4
BR045,75.0,155.0,45.0,26.0,29.0,18.2,0.9,11.3,1.8,1.9,48.0,9.3,32.6
BR045,155.0,195.0,52.0,24.0,24.0,18.2,0.9,25.7,2.3,2.3,48.6,25.5,37.1
BR045,195.0,215.0,58.0,22.0,20.0,18.2,0.9,19.0,1.7,2.5,48.6,21.8,31.1
BR046,0.0,17.0,75.0,9.0,16.0,18.2,0.9,22.3,2.0,6.7,44.1,15.3,40.0
BR046,17.0,80.0,72.0,5.0,23.0,18.2,0.9,22.5,1.9,9.4,43.9,22.4,49.6
BR046,80.0,130.0,59.0,14.0,27.0,18.2,0.9,15.4,2.0,13.1,44.5,10.6,46.2
BR046,130.0,180.0,60.0,16.0,24.0,18.2,0.9,22.0,2.0,9.5,44.2,15.4,27.7
BR046,180.0,240.0,60.0,20.0,20.0,18.2,0.9,25.9,2.0,9.6,43.9,12.8,35.9
BR046,240.0,300.0,59.0,17.0,24.0,18.2,0.9,25.2,2.3,9.1,44.1,14.9,40.3
BR047,0.0,28.0,13.0,14.0,73.0,18.2,0.9,17.6,1.7,4.9,32.7,23.6,37.8
BR047,28.0,41.0,9.0,7.0,84.0,18.2,0.9,15.6,1.6,6.7,33.0,14.4,38.6
BR047,41.0,84.0,8.0,4.0,88.0,18.2,0.9,18.2,2.0,6.3,33.1,21.8,35.7
BR047,84.0,130.0,10.0,6.0,84.0,18.2,0.9,10.5,1.8,11.5,32.5,20.6,44.2
BR047,130.0,280.0,8.0,12.0,79.4,18.2,0.9,15.6,2.1,5.0,32.8,19.8,37.0
BR047,280.0,460.0,2.0,31.0,67.0,18.2,0.9,15.2,2.1,3.5,32.6,19.9,31.2
BR048,0.0,19.0,38.1,29.1,33.7,18.2,0.9,22.9,1.6,6.5,44.8,17.7,43.3
BR048,19.0,40.0,38.1,29.1,33.7,18.2,0.9,20.5,1.7,9.2,30.9,17.0,24.6
BR048,40.0,56.0,38.1,29.1,33.7,18.2,0.9,22.0,2.0,2.1,59.1,7.3,33.4
BR048,56.0,117.0,38.1,29.1,33.7,18.2,0.9,21.3,1.5,9.3,47.1,17.1,38.0
BR048,117.0,176.0,38.1,29.1,33.7,18.2,0.9,21.7,2.0,5.0,47.7,17.8,35.7
BR048,176.0,200.0,38.1,29.1,33.7,18.2,0.9,21.7,1.8,6.7,54.7,27.6,38.4
BR049,0.0,30.0,16.0,8.0,76.0,18.2,0.9,13.1,2.0,9.5,57.8,20.3,40.3
BR049,30.0,60.0,12.0,11.0,77.0,18.2,0.9,12.4,1.9,4.6,47.2,16.3,40.8
BR049,60.0,150.0,13.0,10.0,77.0,18.2,0.9,12.6,1.7,13.5,44.7,20.3,40.6
BR049,150.0,210.0,10.0,11.0,79.0,18.2,0.9,13.3,1.7,9.4,48.6,20.0,40.4
